"date","xrate"
1991,2.9243
1991.25,2.9422
1991.5,3.1719
1991.75,3.2542
1992,3.3479
1992.25,3.5066
1992.5,3.0027
1992.75,2.844
1993,2.8378
1993.25,2.7301
1993.5,2.7008
1993.75,2.6138
1994,2.5874
1994.25,2.5787
1994.5,2.547
1994.75,2.4701
1995,2.3895
1995.25,2.375
1995.5,2.3859
1995.75,2.2766
1996,2.2351
1996.25,2.245
1996.5,2.3208
1996.75,2.339
1997,2.3687
1997.25,2.512
1997.5,2.6917
1997.75,2.8435
1998,3.0922
1998.25,3.2528
1998.5,3.1852
1998.75,3.034
1999,2.9593
1999.25,3.0498
1999.5,3.1869
1999.75,3.2286
2000,3.1925
2000.25,3.3522
2000.5,3.531
